%time,field.header.seq,field.header.stamp,field.header.frame_id,field.height,field.width,field.fields0.name,field.fields0.offset,field.fields0.datatype,field.fields0.count,field.fields1.name,field.fields1.offset,field.fields1.datatype,field.fields1.count,field.fields2.name,field.fields2.offset,field.fields2.datatype,field.fields2.count,field.fields3.name,field.fields3.offset,field.fields3.datatype,field.fields3.count,field.fields4.name,field.fields4.offset,field.fields4.datatype,field.fields4.count,field.fields5.name,field.fields5.offset,field.fields5.datatype,field.fields5.count,field.is_bigendian,field.point_step,field.row_step,field.is_dense
1616037869961932504,24459,1616037869926911831,velodyne,1,26179,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037870059813389,24460,1616037870027721882,velodyne,1,26182,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037870163113002,24461,1616037870128520489,velodyne,1,26228,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037870266624586,24462,1616037870229468822,velodyne,1,26223,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037870363876014,24463,1616037870330325603,velodyne,1,26215,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037870464194900,24464,1616037870431165695,velodyne,1,26195,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037870564699062,24465,1616037870531990528,velodyne,1,26210,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037870668063743,24466,1616037870632859230,velodyne,1,26226,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037870771103526,24467,1616037870733726978,velodyne,1,26221,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037870868444284,24468,1616037870834571600,velodyne,1,26236,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037870970801585,24469,1616037870935436726,velodyne,1,26234,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037871071420976,24470,1616037871036226749,velodyne,1,26247,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037871171960430,24471,1616037871137179852,velodyne,1,26172,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037871274783069,24472,1616037871238048077,velodyne,1,26232,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037871375433774,24473,1616037871338892698,velodyne,1,26261,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037871472920814,24474,1616037871439746857,velodyne,1,26240,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037871576437411,24475,1616037871540533543,velodyne,1,26283,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037871674219772,24476,1616037871641445637,velodyne,1,26226,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037871779578820,24477,1616037871742274761,velodyne,1,26267,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037871878004071,24478,1616037871843150616,velodyne,1,26236,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037871977515784,24479,1616037871943932295,velodyne,1,26241,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037872080933959,24480,1616037872044786930,velodyne,1,26192,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037872181903838,24481,1616037872145705938,velodyne,1,26235,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037872281636847,24482,1616037872246555805,velodyne,1,26231,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037872381740795,24483,1616037872347431183,velodyne,1,26285,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037872480000298,24484,1616037872448253155,velodyne,1,26229,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037872585514803,24485,1616037872549151897,velodyne,1,26271,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037872685921140,24486,1616037872650056839,velodyne,1,26202,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037872786296562,24487,1616037872750854254,velodyne,1,26183,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037872886387734,24488,1616037872851760864,velodyne,1,26237,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
1616037872984275334,24489,1616037872952486038,velodyne,1,26206,x,0,7,1,y,4,7,1,z,8,7,1,intensity,12,7,1,ring,16,4,1,time,18,7,1,0,22,0,1
